Timestamp_s,RED,IR
0.0,86214,89784
0.1363,86161,89648
0.1363,86131,89585
0.1363,86155,89629
0.1363,86188,89732
0.1438,86177,89719
0.1566,86179,89729
0.1729,86170,89721
0.1729,86238,89781
0.1729,86222,89783
0.1782,86096,89618
0.1931,86026,89436
0.1991,85954,89335
0.2104,85857,89185
0.2222,85740,89008
0.2272,85607,88776
0.2285,85461,88549
0.2305,85361,88430
0.2317,85302,88355
0.2317,85331,88389
0.2327,85333,88405
0.2356,85368,88429
0.2356,85401,88464
0.2356,85499,88577
0.2378,85573,88652
0.2378,85623,88709
0.6438,85621,88719
0.6438,85618,88678
0.6504,85594,88648
0.6589,85548,88626
0.6589,85551,88591
0.6642,85544,88629
0.6668,85540,88614
0.6755,85526,88580
0.6812,85468,88514
0.6831,85446,88515
0.6871,85430,88503
0.694,85409,88478
0.6983,85356,88445
0.7029,85281,88333
0.7049,85215,88204
0.7101,85121,88072
0.7131,85053,87890
0.7151,84963,87694
0.7332,84888,87531
0.7363,84825,87414
0.7402,84840,87401
0.756,84871,87473
0.7581,84916,87535
0.7601,84971,87637
0.7641,85031,87727
1.1505,85047,87777
1.1578,85048,87788
1.1621,85057,87777
1.1654,85051,87791
1.1714,85066,87791
1.172,85061,87784
1.1785,85033,87762
1.1826,85040,87758
1.1856,85072,87791
1.1991,85097,87850
1.2016,85138,87914
1.2105,85156,87933
1.2115,85172,87963
1.2222,85197,88005
1.2276,85173,88016
1.2343,85142,87975
1.237,85138,87977
1.2407,85160,88017
1.2455,85195,88083
1.2506,85200,88108
1.259,85214,88145
1.2617,85246,88178
1.2647,85221,88178
1.271,85240,88198
1.2757,85276,88232
1.6341,85330,88305
1.6341,85387,88378
1.6341,85428,88441
1.6523,85458,88507
1.6557,85473,88530
1.6613,85452,88497
1.6623,85382,88426
1.6643,85331,88313
1.6658,85262,88197
1.6696,85215,88063
1.6726,85139,87899
1.6742,85061,87790
1.6785,85036,87723
1.6795,85036,87710
1.6805,85052,87750
1.681,85106,87799
1.681,85145,87869
1.6822,85157,87902
1.6832,85152,87937
1.6832,85153,87900
1.6832,85089,87833
1.6832,85069,87787
1.6832,85057,87773
1.6832,85088,87769
1.6832,85089,87814
2.1406,85065,87804
2.1406,85079,87806
2.1406,85104,87873
2.1509,85133,87938
2.1509,85168,87987
2.1509,85144,87984
2.1509,85148,87989
2.1509,85117,87975
2.1509,85092,87973
2.1509,85071,87954
2.1579,85042,87915
2.1606,85055,87919
2.1617,85082,87931
2.1628,85057,87933
2.1661,85054,87924
2.1671,85042,87941
2.1691,85066,87964
2.1712,85057,87969
2.1735,85077,87996
2.1882,85117,88048
2.1931,85152,88106
2.2013,85146,88117
2.2111,85136,88062
2.2145,85100,88045
2.2145,85060,87957
2.6445,84958,87783
2.6445,84877,87555
2.6541,84792,87401
2.6587,84715,87255
2.6587,84658,87183
2.6655,84639,87137
2.6744,84645,87121
2.7162,84636,87143
2.7172,84691,87228
2.7353,84710,87263
2.7406,84707,87252
2.7439,84635,87199
2.7577,84645,87144
2.7662,84670,87205
2.7694,84668,87209
2.7694,84680,87210
2.7768,84667,87230
2.7793,84707,87286
2.7793,84701,87326
2.7837,84715,87344
2.7848,84738,87387
2.7878,84765,87437
2.796,84763,87456
2.798,84758,87433
2.8041,84709,87414
3.132,84709,87403
3.132,84713,87421
3.1477,84698,87375
3.1514,84722,87409
3.1556,84689,87364
3.1574,84692,87356
3.1621,84699,87371
3.1631,84714,87389
3.1651,84680,87353
3.1671,84636,87275
3.1692,84614,87248
3.1736,84609,87254
3.1747,84630,87295
3.1794,84625,87302
3.1801,84591,87256
3.1801,84631,87318
3.1813,84590,87276
3.1813,84508,87020
3.1822,84353,86766
3.1822,84281,86596
3.1822,84264,86557
3.1832,84307,86601
3.1832,84322,86650
3.1832,84313,86669
3.1851,84304,86649
3.6324,84313,86656
3.648,84307,86635
3.648,84317,86660
3.6521,84355,86733
3.6541,84409,86807
3.6551,84404,86773
3.6571,84377,86723
3.6613,84354,86684
3.6633,84354,86663
3.6692,84377,86683
3.6704,84364,86689
3.6704,84362,86691
3.6714,84386,86695
3.6714,84371,86718
3.6714,84418,86785
3.6734,84457,86832
3.6757,84464,86854
3.6768,84473,86884
3.6777,84494,86900
3.6801,84474,86885
3.6806,84438,86853
3.6836,84442,86854
3.6856,84473,86884
3.6881,84486,86891
3.6893,84503,86888
4.1425,84514,86938
4.1504,84557,86979
4.1566,84562,87029
4.1582,84543,87024
4.1693,84519,87003
4.1743,84514,87013
4.1796,84552,87033
4.1807,84550,87069
